[2021-05-02 15:38:16] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:38:16] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:38:16] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:38:16] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:38:16] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:38:17] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:38:17] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:38:33] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:38:33] INFO|bookmark_manager_app.views.display|Created new group with name=group33
[2021-05-02 15:38:33] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:38:33] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:38:33] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:38:33] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:38:33] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:38:33] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:38:34] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:38:34] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:39:34] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:39:34] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:39:40] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:39:40] ERROR|bookmark_manager_app.views.display|Duplicate group name group33
[2021-05-02 15:39:40] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:39:40] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:39:40] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:39:40] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:39:40] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:39:40] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:39:40] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
